quarter,docs,k,coherence_c_v,log_perplexity,perplexity
2023Q1,3553,3,0.5862287922925976,-7.624588321455,2047.9371996482735
2023Q1,3553,4,0.6113038316658377,-7.590430327580309,1979.1650198136977
2023Q1,3553,5,0.5690163224381195,-7.629182517267426,2057.367469822115
2023Q1,3553,6,0.5769761023332912,-7.641975392799705,2083.8561879690133
2023Q1,3553,7,0.5776948271145368,-7.6203980686872255,2039.3737791073945
2023Q1,3553,8,0.5684079877613253,-7.631843108927237,2062.848572808657
2023Q1,3553,9,0.5176721538265624,-7.6343614451125505,2068.0500658194205
2023Q1,3553,10,0.5132049372733036,-7.639042706028745,2077.7538430008303
2023Q1,3553,11,0.5156011996955552,-7.634925966473643,2069.2178538470152
2023Q1,3553,12,0.5197191851893911,-7.6491848945362655,2098.934039364534
2023Q2,3857,3,0.5016809111100754,-7.651688174979019,2104.194841780609
2023Q2,3857,4,0.5193556025225592,-7.629051146888056,2057.0972104295283
2023Q2,3857,5,0.48715317153785254,-7.628830377616653,2056.643116703992
2023Q2,3857,6,0.5361659152173912,-7.633273765709406,2065.801913214438
2023Q2,3857,7,0.517297412722124,-7.645929219457956,2092.111703801558
2023Q2,3857,8,0.49580943360792445,-7.651022877674822,2102.7953922015017
2023Q2,3857,9,0.4895957977442127,-7.6586271829250885,2118.8466421974654
2023Q2,3857,10,0.52270833993167,-7.644623876150394,2089.3825614117272
2023Q2,3857,11,0.4941167618702401,-7.656115502941831,2113.531455317167
2023Q2,3857,12,0.4737598516451916,-7.6591860857570495,2120.0312025825224
2023Q3,3829,3,0.4643465623986889,-7.755306706067368,2333.925063980487
2023Q3,3829,4,0.46783152138137796,-7.703032853397929,2215.0557542865945
2023Q3,3829,5,0.48887976888254076,-7.65519348690088,2111.5836435071656
2023Q3,3829,6,0.5001379165221821,-7.647885521524682,2096.2085122423564
2023Q3,3829,7,0.5078815165655696,-7.651984824404237,2104.8191425656264
2023Q3,3829,8,0.5236977005417827,-7.6692603888366575,2141.4969843016315
2023Q3,3829,9,0.5074701870865329,-7.673119925841402,2149.778141594907
2023Q3,3829,10,0.490814735537621,-7.693074832872952,2193.107644851778
2023Q3,3829,11,0.5461139314379281,-7.67494761857677,2153.7108683002084
2023Q3,3829,12,0.545179935354273,-7.689432959522208,2185.135150783281
2023Q4,3736,3,0.4768799887890511,-7.6882114116686475,2182.4675332730367
2023Q4,3736,4,0.4878095136187682,-7.644369082855912,2088.850268560675
2023Q4,3736,5,0.4739507617799788,-7.618433668466845,2035.3715650683494
2023Q4,3736,6,0.5743448721991147,-7.587348076316474,1973.074127582271
2023Q4,3736,7,0.5430110211706857,-7.599900340441996,1997.9967657071456
2023Q4,3736,8,0.5301461852405235,-7.592704517582079,1983.6711390571609
2023Q4,3736,9,0.5102536391945437,-7.596045462361716,1990.309557914338
2023Q4,3736,10,0.5410375745352811,-7.602344540799499,2002.8862431131965
2023Q4,3736,11,0.5213350987639237,-7.595327751706378,1988.8816040273578
2023Q4,3736,12,0.546775648849072,-7.59410482365384,1986.4508315534852
2024Q1,3801,3,0.5443182074544832,-7.732814958325296,2282.016950538227
2024Q1,3801,4,0.5408269138385197,-7.712352291353938,2235.795319397202
2024Q1,3801,5,0.4943795086574584,-7.709644391493334,2229.7491994017546
2024Q1,3801,6,0.5001851413116445,-7.705612683260356,2220.777598787613
2024Q1,3801,7,0.4607749220680493,-7.713634704450301,2238.6643718576074
2024Q1,3801,8,0.48712919131798227,-7.692626077539975,2192.1236968928174
2024Q1,3801,9,0.4905583128420143,-7.7061847021414955,2222.0482888996507
2024Q1,3801,10,0.505826827698111,-7.6980819777253595,2204.116390698551
2024Q1,3801,11,0.488017124991892,-7.6921342811864655,2191.0458835063137
2024Q1,3801,12,0.49611926061673234,-7.704796044119551,2218.964765193601
2024Q2,3645,3,0.49379957034911,-7.677993816636937,2160.2815008124735
2024Q2,3645,4,0.5071406351912026,-7.6552016306070385,2111.6008396939073
2024Q2,3645,5,0.5428256053309776,-7.6210022781491515,2040.6063603722685
2024Q2,3645,6,0.5219880223716824,-7.62667763575781,2052.220457108174
2024Q2,3645,7,0.5577304005595635,-7.63188077918571,2062.926282311246
2024Q2,3645,8,0.543532266154374,-7.650564652660447,2101.832059481113
2024Q2,3645,9,0.5190116678877438,-7.667055126375223,2136.779624810558
2024Q2,3645,10,0.5060278437572292,-7.67602212215137,2156.026282064261
2024Q2,3645,11,0.5280222732960136,-7.668248490080433,2139.331102178283
2024Q2,3645,12,0.524042448563982,-7.67836967974534,2161.0936235463223
2024Q3,3699,3,0.39614481893121106,-7.48530919868279,1781.6749761865196
2024Q3,3699,4,0.3606603115732358,-7.494333752233443,1797.8265682539654
2024Q3,3699,5,0.42641246937931243,-7.491153207074101,1792.1175833197779
2024Q3,3699,6,0.4463305268557098,-7.49179940873843,1793.2760269385785
2024Q3,3699,7,0.43164788207848315,-7.519160497321199,1843.0194246798494
2024Q3,3699,8,0.43670955971189285,-7.503566392092211,1814.5021146904544
2024Q3,3699,9,0.4313281407106124,-7.4959907903200484,1800.8081049283678
2024Q3,3699,10,0.40446121165599125,-7.485767172939856,1782.4911243332274
2024Q3,3699,11,0.44223246647782805,-7.483600235141405,1778.6327588692725
2024Q3,3699,12,0.43089209389171906,-7.497714372603655,1803.914622274274
2024Q4,3714,3,0.46327504203123565,-7.705651731135854,2220.8643171278704
2024Q4,3714,4,0.4857825340573135,-7.689144998933099,2184.5060085664063
2024Q4,3714,5,0.49499386557415503,-7.700087463522203,2208.54115022786
2024Q4,3714,6,0.539199906530296,-7.69153869015083,2189.741304755701
2024Q4,3714,7,0.535852451090304,-7.6865329543274195,2178.8074271450996
2024Q4,3714,8,0.4949460092564216,-7.69872940368331,2205.5438549030623
2024Q4,3714,9,0.4679385526702353,-7.709427582723676,2229.2658226232434
2024Q4,3714,10,0.47872725967894925,-7.699868520276473,2208.057657990712
2024Q4,3714,11,0.4668161271877841,-7.706881990820819,2223.598238334708
2024Q4,3714,12,0.5000468729370864,-7.728530404506302,2272.2604421657343
2025Q1,3839,3,0.4955549731760705,-7.734436530433397,2285.7204074751517
2025Q1,3839,4,0.44166324703955484,-7.715518700323075,2242.8859817938674
2025Q1,3839,5,0.5046247716345187,-7.682273507656102,2169.5466499967356
2025Q1,3839,6,0.5364555998072223,-7.6746338776725045,2153.0352670922707
2025Q1,3839,7,0.5716382500312142,-7.682550733492919,2170.1481877593455
2025Q1,3839,8,0.562866188252991,-7.689540964598131,2185.371169216508
2025Q1,3839,9,0.5506024318299843,-7.69825020381684,2204.487211774141
2025Q1,3839,10,0.5246092411899339,-7.69119518012505,2188.989235842654
2025Q1,3839,11,0.47207214520224716,-7.7045508941108025,2218.4208526348107
2025Q1,3839,12,0.5021332827477271,-7.723196564289074,2260.1728333797723
2025Q2,4253,3,0.5381277264485193,-7.483328145674177,1778.1488774620198
2025Q2,4253,4,0.5192907391989128,-7.4460110126977135,1713.0162981994993
2025Q2,4253,5,0.49787101953144053,-7.426290688234653,1679.5659706823112
2025Q2,4253,6,0.5163191034968153,-7.390910224344633,1621.181080042488
2025Q2,4253,7,0.47074785113588913,-7.402541790396762,1640.148048790819
2025Q2,4253,8,0.47962193431059474,-7.400030017356938,1636.0335386615595
2025Q2,4253,9,0.508342508029032,-7.381881093860561,1606.609109641982
2025Q2,4253,10,0.525710426713262,-7.387294250177548,1615.3295170630672
2025Q2,4253,11,0.4936326041493762,-7.407334253452546,1648.0272630617017
2025Q2,4253,12,0.4585716923093428,-7.429741055005559,1685.3710984478853
2025Q3,3886,3,0.47314117583758186,-7.798750071930348,2437.553306412596
2025Q3,3886,4,0.4970079158555418,-7.716395085622272,2244.852475673386
2025Q3,3886,5,0.4863347623019333,-7.713047114326842,2237.3493411703225
2025Q3,3886,6,0.5034260718319165,-7.705303675752022,2220.091467850513
2025Q3,3886,7,0.5042783492249878,-7.706201412461645,2222.085420348185
2025Q3,3886,8,0.5277226051640346,-7.713172632848243,2237.630187576829
2025Q3,3886,9,0.5195281760660742,-7.703732568038554,2216.606203600455
2025Q3,3886,10,0.5100213771370665,-7.709265162542211,2228.9037742665746
2025Q3,3886,11,0.538284194385478,-7.7094232998727765,2229.256275030555
2025Q3,3886,12,0.5562130771994193,-7.702715979514568,2214.353972161958
